age,visit,lag,Disease, RR , L95 , U95 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Cardiovascular (all), 0.76 , 0.26 , 2.22 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Cardiovascular (all), 1.14 , 0.46 , 2.83 
Age 18+,Doctor's Office and Clinic Visits,8-day,Cardiovascular (all), 0.72 , 0.62 , 0.83 
Age 0-4,ED,5-day,Chronic Heart Failure,  ,  ,  
Age 5-17,ED,5-day,Chronic Heart Failure,,  ,  
Age 18+,ED,5-day,Chronic Heart Failure, 0.76 , 0.33 , 1.76 
Age 0-4,Inpatient Hospitalizations,5-day,Chronic Heart Failure,  ,  ,  
Age 5-17,Inpatient Hospitalizations,5-day,Chronic Heart Failure,,  ,  
Age 18+,Inpatient Hospitalizations,5-day,Chronic Heart Failure, 0.82 , 0.51 , 1.32 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Chronic Heart Failure, 8.00 , 0.50 , 127.91 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Chronic Heart Failure,,  ,  
Age 18+,Doctor's Office and Clinic Visits,5-day,Chronic Heart Failure, 0.65 , 0.47 , 0.91 
Age 0-4,ED,8-day,Chronic Heart Failure,  ,  ,  
Age 5-17,ED,8-day,Chronic Heart Failure,,  ,  
Age 18+,ED,8-day,Chronic Heart Failure, 0.68 , 0.32 , 1.44 
Age 0-4,Inpatient Hospitalizations,8-day,Chronic Heart Failure,  ,  ,  
Age 5-17,Inpatient Hospitalizations,8-day,Chronic Heart Failure, 4.00 , 0.25 , 63.95 
Age 18+,Inpatient Hospitalizations,8-day,Chronic Heart Failure, 0.79 , 0.53 , 1.19 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Chronic Heart Failure, 4.00 , 0.25 , 63.95 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Chronic Heart Failure, -   ,  ,  
Age 18+,Doctor's Office and Clinic Visits,8-day,Chronic Heart Failure, 0.66 , 0.48 , 0.89 
Age 0-4,ED,5-day,COPD,  ,  ,  
Age 5-17,ED,5-day,COPD,  ,  ,  
Age 18+,ED,5-day,COPD, 1.10 , 0.63 , 1.92 
Age 0-4,Inpatient Hospitalizations,5-day,COPD,,  ,  
Age 5-17,Inpatient Hospitalizations,5-day,COPD,  ,  ,  
Age 18+,Inpatient Hospitalizations,5-day,COPD, 1.10 , 0.74 , 1.63 
Age 0-4,Doctor's Office and Clinic Visits,5-day,COPD,,  ,  
Age 5-17,Doctor's Office and Clinic Visits,5-day,COPD,,  ,  
Age 18+,Doctor's Office and Clinic Visits,5-day,COPD, 0.92 , 0.74 , 1.15 
Age 0-4,ED,8-day,COPD,  ,  ,  
Age 5-17,ED,8-day,COPD,  ,  ,  
Age 18+,ED,8-day,COPD, 1.22 , 0.78 , 1.91 
Age 0-4,Inpatient Hospitalizations,8-day,COPD,  ,  ,  
Age 5-17,Inpatient Hospitalizations,8-day,COPD,  ,  ,  
Age 18+,Inpatient Hospitalizations,8-day,COPD, 0.95 , 0.67 , 1.34 
Age 0-4,Doctor's Office and Clinic Visits,8-day,COPD, 2.00 , 0.18 , 22.06 
Age 5-17,Doctor's Office and Clinic Visits,8-day,COPD,,  ,  
Age 18+,Doctor's Office and Clinic Visits,8-day,COPD, 1.01 , 0.82 , 1.23 
Age 0-4,ED,5-day,Diseases of the Peripheral Circulation, -   ,  ,  
Age 5-17,ED,5-day,Diseases of the Peripheral Circulation, -   ,  ,  
Age 18+,ED,5-day,Diseases of the Peripheral Circulation, 0.91 , 0.47 , 1.75 
Age 0-4,Inpatient Hospitalizations,5-day,Diseases of the Peripheral Circulation, 2.67 , 0.72 , 9.85 
Age 5-17,Inpatient Hospitalizations,5-day,Diseases of the Peripheral Circulation, -   ,  ,  
Age 18+,Inpatient Hospitalizations,5-day,Diseases of the Peripheral Circulation, 0.94 , 0.59 , 1.50 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Diseases of the Peripheral Circulation, 0.67 , 0.09 , 5.13 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Diseases of the Peripheral Circulation, 1.85 , 0.53 , 6.48 
Age 18+,Doctor's Office and Clinic Visits,5-day,Diseases of the Peripheral Circulation, 0.59 , 0.42 , 0.83 
Age 0-4,ED,8-day,Diseases of the Peripheral Circulation,,  ,  
Age 5-17,ED,8-day,Diseases of the Peripheral Circulation,,  ,  
Age 18+,ED,8-day,Diseases of the Peripheral Circulation, 0.97 , 0.55 , 1.70 
Age 0-4,Inpatient Hospitalizations,8-day,Diseases of the Peripheral Circulation, 2.00 , 0.60 , 6.64 
Age 5-17,Inpatient Hospitalizations,8-day,Diseases of the Peripheral Circulation, 0.40 , 0.05 , 3.12 
Age 18+,Inpatient Hospitalizations,8-day,Diseases of the Peripheral Circulation, 1.00 , 0.67 , 1.49 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Diseases of the Peripheral Circulation, 1.00 , 0.21 , 4.71 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Diseases of the Peripheral Circulation, 2.50 , 0.82 , 7.64 
Age 18+,Doctor's Office and Clinic Visits,8-day,Diseases of the Peripheral Circulation, 0.68 , 0.50 , 0.92 
Age 0-4,ED,5-day,Dysrythmia,,  ,  
Age 5-17,ED,5-day,Dysrythmia, 1.33 , 0.16 , 11.08 
Age 18+,ED,5-day,Dysrythmia, 1.06 , 0.63 , 1.78 
Age 0-4,Inpatient Hospitalizations,5-day,Dysrythmia, 1.00 , 0.13 , 8.00 
Age 5-17,Inpatient Hospitalizations,5-day,Dysrythmia,,  ,  
Age 18+,Inpatient Hospitalizations,5-day,Dysrythmia, 1.24 , 0.81 , 1.90 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Dysrythmia,,  ,  
Age 5-17,Doctor's Office and Clinic Visits,5-day,Dysrythmia, 0.67 , 0.09 , 5.13 
Age 18+,Doctor's Office and Clinic Visits,5-day,Dysrythmia, 0.83 , 0.59 , 1.17 
Age 0-4,ED,8-day,Dysrythmia,,  ,  
Age 5-17,ED,8-day,Dysrythmia, 1.60 , 0.31 , 8.25 
Age 18+,ED,8-day,Dysrythmia, 1.01 , 0.65 , 1.58 
Age 0-4,Inpatient Hospitalizations,8-day,Dysrythmia, 0.67 , 0.08 , 5.54 
Age 5-17,Inpatient Hospitalizations,8-day,Dysrythmia,,  ,  
Age 18+,Inpatient Hospitalizations,8-day,Dysrythmia, 1.12 , 0.74 , 1.68 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Dysrythmia,,  ,  
Age 5-17,Doctor's Office and Clinic Visits,8-day,Dysrythmia, 0.57 , 0.07 , 4.64 
Age 18+,Doctor's Office and Clinic Visits,8-day,Dysrythmia, 0.97 , 0.72 , 1.32 
Age 0-4,ED,5-day,Ischemic Heart Disease,  ,  ,  
Age 5-17,ED,5-day,Ischemic Heart Disease,  ,  ,  
Age 18+,ED,5-day,Ischemic Heart Disease, 0.89 , 0.38 , 2.07 
Age 0-4,Inpatient Hospitalizations,5-day,Ischemic Heart Disease,  ,  ,  
Age 5-17,Inpatient Hospitalizations,5-day,Ischemic Heart Disease,,  ,  
Age 18+,Inpatient Hospitalizations,5-day,Ischemic Heart Disease, 0.90 , 0.59 , 1.39 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Ischemic Heart Disease,  ,  ,  
Age 5-17,Doctor's Office and Clinic Visits,5-day,Ischemic Heart Disease,,  ,  
Age 18+,Doctor's Office and Clinic Visits,5-day,Ischemic Heart Disease, 0.58 , 0.42 , 0.80 
Age 0-4,ED,8-day,Ischemic Heart Disease,  ,  ,  
Age 5-17,ED,8-day,Ischemic Heart Disease,  ,  ,  
Age 18+,ED,8-day,Ischemic Heart Disease, 0.86 , 0.45 , 1.66 
Age 0-4,Inpatient Hospitalizations,8-day,Ischemic Heart Disease,  ,  ,  
Age 5-17,Inpatient Hospitalizations,8-day,Ischemic Heart Disease,,  ,  
Age 18+,Inpatient Hospitalizations,8-day,Ischemic Heart Disease, 0.85 , 0.57 , 1.26 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Ischemic Heart Disease,  ,  ,  
Age 5-17,Doctor's Office and Clinic Visits,8-day,Ischemic Heart Disease,,  ,  
Age 18+,Doctor's Office and Clinic Visits,8-day,Ischemic Heart Disease, 0.60 , 0.45 , 0.80 
Age 0-4,ED,5-day,Pneumonia, 0.92 , 0.28 , 3.05 
Age 5-17,ED,5-day,Pneumonia, 1.45 , 0.32 , 6.56 
Age 18+,ED,5-day,Pneumonia, 1.33 , 0.72 , 2.46 
Age 0-4,Inpatient Hospitalizations,5-day,Pneumonia, 1.45 , 0.50 , 4.22 
Age 5-17,Inpatient Hospitalizations,5-day,Pneumonia, 0.64 , 0.15 , 2.70 
Age 18+,Inpatient Hospitalizations,5-day,Pneumonia, 1.30 , 0.87 , 1.94 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Pneumonia, 1.55 , 1.09 , 2.20 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Pneumonia, 0.75 , 0.34 , 1.62 
Age 18+,Doctor's Office and Clinic Visits,5-day,Pneumonia, 1.14 , 0.64 , 2.04 
Age 0-4,ED,8-day,Pneumonia, 1.28 , 0.58 , 2.84 
Age 5-17,ED,8-day,Pneumonia, 2.00 , 0.50 , 8.00 
Age 18+,ED,8-day,Pneumonia, 1.19 , 0.69 , 2.05 
Age 0-4,Inpatient Hospitalizations,8-day,Pneumonia, 1.33 , 0.48 , 3.67 
Age 5-17,Inpatient Hospitalizations,8-day,Pneumonia, 0.40 , 0.09 , 1.71 
Age 18+,Inpatient Hospitalizations,8-day,Pneumonia, 1.28 , 0.91 , 1.80 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Pneumonia, 1.56 , 1.13 , 2.17 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Pneumonia, 1.07 , 0.55 , 2.09 
Age 18+,Doctor's Office and Clinic Visits,8-day,Pneumonia, 1.10 , 0.64 , 1.88 
Age 0-4,ED,5-day,Respiratory (all), 1.70 , 1.32 , 2.19 
Age 5-17,ED,5-day,Respiratory (all), 1.19 , 0.80 , 1.79 
Age 18+,ED,5-day,Respiratory (all), 1.21 , 1.03 , 1.41 
Age 0-4,Inpatient Hospitalizations,5-day,Respiratory (all), 1.18 , 0.66 , 2.12 
Age 5-17,Inpatient Hospitalizations,5-day,Respiratory (all), 1.13 , 0.56 , 2.26 
Age 18+,Inpatient Hospitalizations,5-day,Respiratory (all), 1.11 , 0.92 , 1.34 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Respiratory (all), 1.11 , 1.03 , 1.19 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Respiratory (all), 0.93 , 0.83 , 1.05 
Age 18+,Doctor's Office and Clinic Visits,5-day,Respiratory (all), 0.89 , 0.81 , 0.98 
Age 0-4,ED,8-day,Respiratory (all), 1.65 , 1.34 , 2.03 
Age 5-17,ED,8-day,Respiratory (all), 1.24 , 0.88 , 1.74 
Age 18+,ED,8-day,Respiratory (all), 1.16 , 1.02 , 1.33 
Age 0-4,Inpatient Hospitalizations,8-day,Respiratory (all), 1.54 , 0.97 , 2.44 
Age 5-17,Inpatient Hospitalizations,8-day,Respiratory (all), 1.00 , 0.52 , 1.94 
Age 18+,Inpatient Hospitalizations,8-day,Respiratory (all), 1.00 , 0.85 , 1.19 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Respiratory (all), 1.21 , 1.13 , 1.30 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Respiratory (all), 0.98 , 0.88 , 1.09 
Age 18+,Doctor's Office and Clinic Visits,8-day,Respiratory (all), 1.01 , 0.92 , 1.10 
Age 0-4,ED,5-day,Respiratory Symptoms, 1.91 , 1.29 , 2.82 
Age 5-17,ED,5-day,Respiratory Symptoms, 1.14 , 0.62 , 2.09 
Age 18+,ED,5-day,Respiratory Symptoms, 1.22 , 1.02 , 1.45 
Age 0-4,Inpatient Hospitalizations,5-day,Respiratory Symptoms, 0.93 , 0.37 , 2.35 
Age 5-17,Inpatient Hospitalizations,5-day,Respiratory Symptoms, 1.74 , 0.66 , 4.57 
Age 18+,Inpatient Hospitalizations,5-day,Respiratory Symptoms, 1.02 , 0.81 , 1.29 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Respiratory Symptoms, 1.49 , 1.22 , 1.84 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Respiratory Symptoms, 0.93 , 0.64 , 1.36 
Age 18+,Doctor's Office and Clinic Visits,5-day,Respiratory Symptoms, 0.78 , 0.64 , 0.96 
Age 0-4,ED,8-day,Respiratory Symptoms, 1.66 , 1.19 , 2.32 
Age 5-17,ED,8-day,Respiratory Symptoms, 1.40 , 0.85 , 2.30 
Age 18+,ED,8-day,Respiratory Symptoms, 1.20 , 1.04 , 1.40 
Age 0-4,Inpatient Hospitalizations,8-day,Respiratory Symptoms, 1.20 , 0.57 , 2.53 
Age 5-17,Inpatient Hospitalizations,8-day,Respiratory Symptoms, 1.60 , 0.62 , 4.12 
Age 18+,Inpatient Hospitalizations,8-day,Respiratory Symptoms, 0.95 , 0.78 , 1.17 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Respiratory Symptoms, 1.52 , 1.26 , 1.84 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Respiratory Symptoms, 1.09 , 0.78 , 1.53 
Age 18+,Doctor's Office and Clinic Visits,8-day,Respiratory Symptoms, 0.88 , 0.74 , 1.05 
Age 0-4,ED,5-day,Stroke,  ,  ,  
Age 5-17,ED,5-day,Stroke, 4.00 , 0.36 , 44.11 
Age 18+,ED,5-day,Stroke, 1.00 , 0.48 , 2.09 
Age 0-4,Inpatient Hospitalizations,5-day,Stroke, 2.67 , 0.54 , 13.21 
Age 5-17,Inpatient Hospitalizations,5-day,Stroke, 3.20 , 0.62 , 16.49 
Age 18+,Inpatient Hospitalizations,5-day,Stroke, 0.88 , 0.54 , 1.46 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Stroke, 1.14 , 0.14 , 9.29 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Stroke, -   ,  ,  
Age 18+,Doctor's Office and Clinic Visits,5-day,Stroke, 0.62 , 0.39 , 0.96 
Age 0-4,ED,8-day,Stroke,  ,  ,  
Age 5-17,ED,8-day,Stroke, 1.33 , 0.14 , 12.82 
Age 18+,ED,8-day,Stroke, 1.04 , 0.58 , 1.87 
Age 0-4,Inpatient Hospitalizations,8-day,Stroke, 2.00 , 0.37 , 10.92 
Age 5-17,Inpatient Hospitalizations,8-day,Stroke, 3.00 , 0.67 , 13.40 
Age 18+,Inpatient Hospitalizations,8-day,Stroke, 0.78 , 0.50 , 1.21 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Stroke, 0.67 , 0.08 , 5.54 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Stroke,,  ,  
Age 18+,Doctor's Office and Clinic Visits,8-day,Stroke, 0.84 , 0.58 , 1.22 
Age 0-4,ED,5-day,Total Encounters, 1.25 , 1.07 , 1.47 
Age 5-17,ED,5-day,Total Encounters, 0.79 , 0.65 , 0.96 
Age 18+,ED,5-day,Total Encounters, 1.00 , 0.93 , 1.08 
Age 0-4,Inpatient Hospitalizations,5-day,Total Encounters, 0.87 , 0.70 , 1.07 
Age 5-17,Inpatient Hospitalizations,5-day,Total Encounters, 0.64 , 0.46 , 0.89 
Age 18+,Inpatient Hospitalizations,5-day,Total Encounters, 0.93 , 0.85 , 1.01 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Total Encounters, 0.68 , 0.65 , 0.71 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Total Encounters, 0.60 , 0.57 , 0.63 
Age 18+,Doctor's Office and Clinic Visits,5-day,Total Encounters, 0.71 , 0.69 , 0.73 
Age 0-4,ED,8-day,Total Encounters, 1.23 , 1.08 , 1.40 
Age 5-17,ED,8-day,Total Encounters, 0.83 , 0.71 , 0.97 
Age 18+,ED,8-day,Total Encounters, 0.98 , 0.92 , 1.05 
Age 0-4,Inpatient Hospitalizations,8-day,Total Encounters, 0.88 , 0.74 , 1.05 
Age 5-17,Inpatient Hospitalizations,8-day,Total Encounters, 0.82 , 0.63 , 1.06 
Age 18+,Inpatient Hospitalizations,8-day,Total Encounters, 0.92 , 0.86 , 0.99 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Total Encounters, 0.77 , 0.75 , 0.80 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Total Encounters, 0.67 , 0.65 , 0.70 
Age 18+,Doctor's Office and Clinic Visits,8-day,Total Encounters, 0.77 , 0.76 , 0.79 
Age 0-4,ED,5-day,Upper Respiratory Infection, 1.77 , 1.28 , 2.45 
Age 5-17,ED,5-day,Upper Respiratory Infection, 1.03 , 0.49 , 2.16 
Age 18+,ED,5-day,Upper Respiratory Infection, 0.94 , 0.54 , 1.64 
Age 0-4,Inpatient Hospitalizations,5-day,Upper Respiratory Infection, 1.14 , 0.34 , 3.83 
Age 5-17,Inpatient Hospitalizations,5-day,Upper Respiratory Infection,,  ,  
Age 18+,Inpatient Hospitalizations,5-day,Upper Respiratory Infection, 0.73 , 0.09 , 5.63 
Age 0-4,Doctor's Office and Clinic Visits,5-day,Upper Respiratory Infection, 1.01 , 0.92 , 1.11 
Age 5-17,Doctor's Office and Clinic Visits,5-day,Upper Respiratory Infection, 0.70 , 0.59 , 0.84 
Age 18+,Doctor's Office and Clinic Visits,5-day,Upper Respiratory Infection, 0.75 , 0.60 , 0.93 
Age 0-4,ED,8-day,Upper Respiratory Infection, 1.86 , 1.42 , 2.43 
Age 5-17,ED,8-day,Upper Respiratory Infection, 1.15 , 0.65 , 2.05 
Age 18+,ED,8-day,Upper Respiratory Infection, 0.80 , 0.48 , 1.35 
Age 0-4,Inpatient Hospitalizations,8-day,Upper Respiratory Infection, 2.57 , 1.11 , 5.94 
Age 5-17,Inpatient Hospitalizations,8-day,Upper Respiratory Infection, 1.00 , 0.11 , 8.95 
Age 18+,Inpatient Hospitalizations,8-day,Upper Respiratory Infection, 0.36 , 0.05 , 2.82 
Age 0-4,Doctor's Office and Clinic Visits,8-day,Upper Respiratory Infection, 1.11 , 1.02 , 1.21 
Age 5-17,Doctor's Office and Clinic Visits,8-day,Upper Respiratory Infection, 0.76 , 0.65 , 0.89 
Age 18+,Doctor's Office and Clinic Visits,8-day,Upper Respiratory Infection, 0.87 , 0.72 , 1.05 
